phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
noLRpMR75,7515,RRS-10,CS76592,-86.4251,41.5609,US,3.5,20866
noLRpMR75,7000,Aa-0,CS76428,9.57073,50.9167,GER,18.5,20867
noLRpMR75,6989,Alst-1,CS76432,-2.4333,54.8,UK,10.25,20868
noLRpMR75,6990,Amel-1,CS76434,5.73,53.448,NED,16.0,20869
noLRpMR75,6996,An-2,,4.4,51.2167,Belgium,22.0,20870
noLRpMR75,6992,Ang-0,CS76436,5.3,50.3,Belgium,14.0,20871
noLRpMR75,6994,Ann-1,,6.13028,45.9,France,19.0,20872
noLRpMR75,6998,Arby-1,,16.79994,59.43078,Sweden,14.5,20873
noLRpMR75,7014,Ba-1,CS76441,-4.79821,56.5459,UK,18.5,20874
noLRpMR75,7002,Baa-1,CS76442,6.1,51.3333,NED,8.25,20875
noLRpMR75,7011,Be-1,,8.6161,49.6803,GER,21.0,20876
noLRpMR75,7008,Benk-1,CS76447,5.675,52.0,NED,22.5,20877
noLRpMR75,7035,Blh-2,,19.0,48.0,Czech Republic,23.0,20878
noLRpMR75,7026,Boot-1,CS76452,-3.2667,54.4,UK,25.5,20879
noLRpMR75,7004,Bs-2,,7.5,47.5,SUI,19.5,20880
noLRpMR75,7031,Bsch-0,CS76457,8.6667,50.0167,GER,30.25,20881
noLRpMR75,7062,Ca-0,CS76459,8.26607,50.2981,GER,26.0,20882
noLRpMR75,7069,Cha-0,,7.1167,46.0333,SUI,9.25,20883
noLRpMR75,7071,Chat-1,CS76463,1.33867,48.0717,France,15.75,20884
noLRpMR75,6727,CIBC-2,,-0.6383,51.4083,UK,22.25,20885
noLRpMR75,6729,CIBC-4,,-0.6383,51.4083,UK,18.0,20886
noLRpMR75,6730,CIBC-5,,-0.6383,51.4083,UK,14.0,20887
noLRpMR75,7075,Cit-0,,2.54038,43.3779,France,22.25,20888
noLRpMR75,7078,Co-2,,-8.25,40.12,POR,14.75,20889
noLRpMR75,7080,Co-4,,-8.25,40.12,POR,20.0,20890
noLRpMR75,6744,CSHL-5,CS76779,-73.4675,40.8585,US,14.25,20891
noLRpMR75,7092,Com-1,CS76469,2.823,49.416,France,15.0,20892
noLRpMR75,7094,Da-0,CS76791,8.65081,49.8724,GER,16.0,20893
noLRpMR75,7460,Da(1)-12,CS76470,,,Czech Republic,23.5,20894
noLRpMR75,7100,Db-0,,8.324,50.3055,GER,20.25,20895
noLRpMR75,7098,Di-1,,5.0,47.0,France,19.25,20896
noLRpMR75,7102,Do-0,CS76474,8.2372,50.7224,GER,25.75,20897
noLRpMR75,7105,Dra-2,,16.2667,49.4167,Czech Republic,20.25,20898
noLRpMR75,7110,Ede-1,,5.66667,52.0333,NED,21.5,20899
noLRpMR75,7123,Ep-0,,8.38912,50.1721,GER,23.5,20900
noLRpMR75,7126,Es-0,CS76484,24.5682,60.1997,Finland,12.5,20901
noLRpMR75,7128,Est-0,,25.3,58.3,Russia,29.0,20902
noLRpMR75,7139,Fi-1,,8.0167,50.5,GER,14.25,20903
noLRpMR75,7135,Fr-4,,8.6822,50.1102,GER,10.25,20904
noLRpMR75,7141,Ga-2,,8.0,50.3,GER,22.0,20905
noLRpMR75,7145,Ge-1,,6.08,46.5,SUI,30.0,20906
noLRpMR75,7143,Gel-1,CS76492,5.86667,51.0167,NED,19.0,20907
noLRpMR75,7147,Gie-0,CS76493,8.67825,50.584,GER,20.75,20908
noLRpMR75,7151,Go-0,,9.9355,51.5338,GER,22.75,20909
noLRpMR75,7158,Gr-5,CS76885,15.5,47.0,Austria,22.25,20910
noLRpMR75,7150,Gu-1,,8.0,50.3,GER,19.5,20911
noLRpMR75,7163,Ha-0,CS76500,9.73569,52.3721,GER,13.5,20912
noLRpMR75,7164,Hau-0,CS76915,12.5686,55.675,DEN,11.75,20913
noLRpMR75,7166,Hey-1,,5.9,51.25,NED,16.75,20914
noLRpMR75,7169,Hh-0,CS76512,9.88682,54.4175,GER,17.5,20915
noLRpMR75,7165,Hn-0,CS76513,8.28844,51.3472,GER,21.25,20916
noLRpMR75,7181,Je-0,CS76518,11.587,50.927,GER,20.0,20917
noLRpMR75,7424,Jl-3,CS76519,16.6166,49.2,Czech Republic,8.75,20918
noLRpMR75,7178,Jm-1,,15.0,49.0,Czech Republic,14.75,20919
noLRpMR75,7188,Kelsterbach-2,,8.5333,50.0667,GER,26.0,20920
noLRpMR75,7199,Kl-5,CS76528,6.9666,50.95,GER,10.25,20921
noLRpMR75,7186,Kn-0,CS76969,23.8924,54.8969,Lithuania,21.75,20922
noLRpMR75,6810,KNO-11,,-86.621,41.2816,US,22.75,20923
noLRpMR75,7201,Kr-0,,6.55934,51.3317,GER,25.25,20924
noLRpMR75,7206,Kro-0,,8.96617,50.0742,GER,13.75,20925
noLRpMR75,7205,Krot-2,,11.5722,49.631,GER,18.0,20926
noLRpMR75,7224,Li-3,,8.0666,50.3833,GER,10.0,20927
noLRpMR75,7227,Li-5:2,,8.0666,50.3833,GER,15.0,20928
noLRpMR75,7229,Li-6,,8.0666,50.3833,GER,22.0,20929
noLRpMR75,7231,Li-7,CS77035,8.0666,50.3833,GER,25.5,20930
noLRpMR75,7252,Mc-0,,-2.3,54.6167,UK,19.25,20931
noLRpMR75,7255,Mh-0,CS76550,20.5,50.95,Poland,20.25,20932
noLRpMR75,7244,Mnz-0,CS76552,8.26664,50.001,GER,18.5,20933
noLRpMR75,7446,N4,,34.15,61.36,Russia,10.0,20934
noLRpMR75,7449,N7,,34.15,61.36,Russia,17.75,20935
noLRpMR75,7430,Nc-1,CS76559,6.25,48.6167,France,6.75,20936
noLRpMR75,6847,NFC-20,,-0.6383,51.4083,UK,19.0,20937
noLRpMR75,7275,No-0,,13.2995,51.0581,GER,15.5,20938
noLRpMR75,7270,Nok-1,,4.45,52.24,NED,23.25,20939
noLRpMR75,7258,Nw-0,CS76564,8.5,50.5,GER,9.25,20940
noLRpMR75,7260,Nw-2,,8.5,50.5,GER,16.0,20941
noLRpMR75,7263,Nz-1,,175.283,-37.7871,New Zealand,27.25,20942
noLRpMR75,7277,Ob-1,,8.5833,50.2,GER,16.5,20943
noLRpMR75,7280,Old-1,CS76567,8.2,53.1667,GER,16.0,20944
noLRpMR75,7282,Or-0,CS76568,8.01161,50.3827,GER,19.5,20945
noLRpMR75,7291,Pa-2,,13.22,38.07,Italy,8.0,20946
noLRpMR75,7479,PHW-10,,0.0565,51.2878,UK,17.0,20947
noLRpMR75,7482,PHW-13,,0.0565,51.2878,UK,17.75,20948
noLRpMR75,7483,PHW-14,,0.0565,51.2878,UK,16.5,20949
noLRpMR75,7490,PHW-20,,0.0565,51.2878,UK,8.75,20950
noLRpMR75,7492,PHW-22,,-1.7167,51.4167,UK,7.75,20951
noLRpMR75,7496,PHW-26,,-3.8404,50.6728,UK,15.75,20952
noLRpMR75,7498,PHW-28,,-3.5833,50.35,UK,13.5,20953
noLRpMR75,7502,PHW-31,,-3.2,51.4666,UK,15.0,20954
noLRpMR75,7504,PHW-33,,4.5667,52.25,NED,24.5,20955
noLRpMR75,7506,PHW-35,,2.3086,48.6103,France,17.25,20956
noLRpMR75,7507,PHW-36,,2.3086,48.6103,France,15.75,20957
noLRpMR75,7508,PHW-37,,2.3086,48.6103,France,21.5,20958
noLRpMR75,7300,Pla-0,,2.25,41.5,Spain,24.75,20959
noLRpMR75,7307,Pn-0,CS77182,-2.96591,48.0653,France,22.5,20960
noLRpMR75,7306,Pog-0,CS76576,-123.206,49.2655,Canada,13.25,20961
noLRpMR75,7310,Pr-0,,8.60706,50.1448,GER,15.25,20962
noLRpMR75,6953,Pu2-24,,16.36,49.42,Czech Republic,17.5,20963
noLRpMR75,7316,Rhen-1,CS78916,5.56667,51.9667,NED,21.25,20964
noLRpMR75,7320,Rou-0,CS76591,1.09849,49.4424,France,17.75,20965
noLRpMR75,7514,RRS-7,CS76593,-86.4251,41.5609,US,12.25,20966
noLRpMR75,7472,S96,,,,UNK,30.0,20967
noLRpMR75,7330,Sapporo-0,,141.346,43.0553,Japan,19.5,20968
noLRpMR75,7340,Sav-0,,15.8833,49.1833,Czech Republic,18.25,20969
noLRpMR75,7333,Sei-0,CS76599,11.5614,46.5438,Italy,19.75,20970
noLRpMR75,7344,Sg-1,CS76600,9.5,47.6667,GER,22.75,20971
noLRpMR75,7331,Sh-0,,10.2144,51.6832,GER,6.0,20972
noLRpMR75,7337,Si-0,CS76601,8.02341,50.8738,GER,14.75,20973
noLRpMR75,7343,Sp-0,CS76603,13.181,52.5339,GER,17.75,20974
noLRpMR75,7346,Sten-0,CS77277,11.8558,52.6058,GER,5.0,20975
noLRpMR75,7353,Tha-1,CS76611,4.3,52.08,NED,20.75,20976
noLRpMR75,7354,Ting-1,CS76612,14.9,56.5,Sweden,23.0,20977
noLRpMR75,7355,Tiv-1,,12.8,41.96,Italy,20.5,20978
noLRpMR75,7372,Tscha-1,CS76616,9.9042,47.0748,Austria,19.0,20979
noLRpMR75,7373,Tsu-0,CS77389,136.31,34.43,Japan,21.75,20980
noLRpMR75,7351,Ty-0,,-5.23439,56.4278,UK,17.25,20981
noLRpMR75,7378,Uk-1,CS76620,7.7667,48.0333,GER,10.75,20982
noLRpMR75,7379,Uk-2,,7.7667,48.0333,GER,16.5,20983
noLRpMR75,7382,Utrecht,CS76622,5.1145,52.0918,NED,19.25,20984
noLRpMR75,7384,Ven-1,CS76624,5.55,52.0333,NED,32.25,20985
noLRpMR75,7394,Wa-1,CS76626,21.0,52.3,Poland,16.75,20986
noLRpMR75,7390,Wag-3,,5.6666,51.9666,NED,12.5,20987
noLRpMR75,7391,Wag-4,,5.6666,51.9666,NED,14.75,20988
noLRpMR75,7392,Wag-5,,5.6666,51.9666,NED,22.75,20989
noLRpMR75,7477,WAR,CS78853,-71.2825,41.7302,US,10.5,20990
noLRpMR75,7405,Wc-2,,10.0667,52.6,GER,26.25,20991
noLRpMR75,7411,Wl-0,CS76630,10.8134,47.9299,GER,20.75,20992
noLRpMR75,7397,Ws,,30.0,52.3,Russia,23.5,20993
noLRpMR75,7408,Wt-3,,9.3,52.3,GER,17.5,20994
noLRpMR75,7418,Zu-1,CS78881,8.55,47.3667,SUI,19.75,20995
noLRpMR75,7283,Ors-1,,22.3955,44.7203,Romania,16.75,20996
noLRpMR75,7284,Ors-2,,22.3955,44.7203,Romania,8.25,20997
noLRpMR75,8610,11ME1.32,,-86.359,42.093,US,17.0,20998
noLRpMR75,8796,11PNA4.101,,-86.3253,42.0945,US,16.75,20999
noLRpMR75,8692,328PNA054,,-86.3253,42.0945,US,16.0,21000
noLRpMR75,6897,Ag-0,CS76430,1.3,45.0,France,11.5,21001
noLRpMR75,6988,Alc-0,,-3.36,40.49,Spain,8.25,21002
noLRpMR75,1,ALL1-2,,1.48333,45.2667,France,3.0,21003
noLRpMR75,2,ALL1-3,,1.48333,45.2667,France,12.75,21004
noLRpMR75,6898,An-1,CS76435,4.4,51.2167,Belgium,24.5,21005
noLRpMR75,5832,App1-16,CS76669,15.9667,56.3333,Sweden,14.0,21006
noLRpMR75,8256,Bå1-2,CS76676,12.9,56.4,Sweden,21.0,21007
noLRpMR75,6899,Bay-0,,11.0,49.0,GER,21.5,21008
noLRpMR75,957,Belmonte-4-94,,12.4833,42.1167,Italy,17.25,21009
noLRpMR75,6709,Bg-2,,-122.305,47.6479,US,15.5,21010
noLRpMR75,7015,Bla-1,,2.8,41.6833,Spain,15.25,21011
noLRpMR75,7034,Blh-1,,19.85,48.3,Czech Republic,25.25,21012
noLRpMR75,5837,Bor-1,CS76453,16.2326,49.4013,Czech Republic,24.0,21013
noLRpMR75,6903,Bor-4,CS76454,16.2326,49.4013,Czech Republic,13.0,21014
noLRpMR75,6904,Br-0,CS76455,16.6166,49.2,Czech Republic,24.0,21015
noLRpMR75,8231,Brö1-6,CS76726,16.0,56.3,Sweden,22.75,21016
noLRpMR75,8271,Bu-0,,9.5,50.5,GER,14.0,21017
noLRpMR75,5719,Bur-0,,-6.2,54.1,Ireland,26.0,21018
noLRpMR75,6906,C24,,-8.42639,40.2077,POR,14.25,21019
noLRpMR75,23,CAM-16,,-4.58333,48.2667,France,21.0,21020
noLRpMR75,66,CAM-61,,-4.58333,48.2667,France,26.75,21021
noLRpMR75,8274,Can-0,,-13.4811,29.2144,Spain,15.5,21022
noLRpMR75,8275,Cen-0,,0.5,49.0,France,12.5,21023
noLRpMR75,6909,Col-0,CS76778,-92.3,38.3,US,26.5,21024
noLRpMR75,6910,Ct-1,,15.0,37.3,Italy,26.5,21025
noLRpMR75,81,CUR-3,,1.75,45.0,France,19.25,21026
noLRpMR75,6911,Cvi-0,CS76789,-23.6167,15.1111,Cape Verde,14.75,21027
noLRpMR75,5896,DraIV 1-14,,16.2815,49.4112,Czech Republic,31.75,21028
noLRpMR75,5987,DraIV 6-16,,16.2815,49.4112,Czech Republic,23.5,21029
noLRpMR75,6008,Duk,CS76824,16.2,49.1,Czech Republic,28.75,21030
noLRpMR75,6913,Eden-2,CS76827,18.177,62.877,Sweden,9.25,21031
noLRpMR75,6914,Edi-0,,-3.16028,55.9494,UK,22.75,21032
noLRpMR75,6916,Est-1,,25.3,58.3,Russia,23.5,21033
noLRpMR75,8215,Fei-0,,-8.32,40.5,POR,21.25,21034
noLRpMR75,6019,Fjä1-2,CS76860,14.29,56.06,Sweden,20.75,21035
noLRpMR75,6020,Fjä1-5,CS76861,14.29,56.06,Sweden,12.5,21036
noLRpMR75,6919,Ga-0,CS76490,8.0,50.3,GER,21.0,21037
noLRpMR75,8296,Gd-1,,10.5,53.5,GER,26.75,21038
noLRpMR75,8297,Ge-0,CS76875,6.08,46.5,SUI,20.75,21039
noLRpMR75,6921,Got-7,,9.9355,51.5338,GER,23.75,21040
noLRpMR75,8300,Gr-1,,15.5,47.0,Austria,15.0,21041
noLRpMR75,8214,Gy-0,CS78901,2.0,49.0,France,19.25,21042
noLRpMR75,8304,Hi-0,,5.0,52.0,NED,22.0,21043
noLRpMR75,8235,Hod,CS76924,17.1,48.8,Czech Republic,16.75,21044
noLRpMR75,8306,Hov4-1,CS76936,13.74,56.1,Sweden,19.25,21045
noLRpMR75,6039,Hovdala-2,CS76937,13.74,56.1,Sweden,26.0,21046
noLRpMR75,6924,HR-5,CS76514,-0.6383,51.4083,UK,17.75,21047
noLRpMR75,8310,Hs-0,,9.44,52.24,GER,20.25,21048
noLRpMR75,8236,HSm,CS76941,15.76,49.33,Czech Republic,15.0,21049
noLRpMR75,8311,In-0,CS78903,11.5,47.5,Austria,20.25,21050
noLRpMR75,91,JEA,,7.33333,43.6833,France,25.25,21051
noLRpMR75,8314,Ka-0,,14.0,47.0,Austria,19.75,21052
noLRpMR75,8424,Kas-2,CS78905,77.0,35.0,India,13.5,21053
noLRpMR75,1716,KBS-Mac-8,,-85.398,42.405,US,12.25,21054
noLRpMR75,8420,Kelsterbach-4,CS76525,8.5333,50.0667,GER,17.0,21055
noLRpMR75,6926,Kin-0,CS76527,-85.37,44.46,US,18.5,21056
noLRpMR75,6928,KNO-18,,-86.621,41.2816,US,17.5,21057
noLRpMR75,8239,PHW-3,CS76976,7.0,51.0,GER,20.0,21058
noLRpMR75,8240,Kulturen-1,CS76987,13.196,55.705,Sweden,15.0,21059
noLRpMR75,94,LAC-3,,6.81667,47.7,France,21.5,21060
noLRpMR75,96,LAC-5,,6.81667,47.7,France,18.75,21061
noLRpMR75,8323,Lc-0,,-4.0,57.0,UK,2.0,21062
noLRpMR75,104,LDV-14,,-4.06667,48.5167,France,19.5,21063
noLRpMR75,116,LDV-25,,-4.06667,48.5167,France,14.5,21064
noLRpMR75,126,LDV-34,,-4.06667,48.5167,France,17.5,21065
noLRpMR75,149,LDV-58,,-4.06667,48.5167,France,14.0,21066
noLRpMR75,641,LI-OF-095,,-72.9069,40.7777,US,14.0,21067
noLRpMR75,8241,Liarum,CS77038,13.821,55.9473,Sweden,19.0,21068
noLRpMR75,8242,Lillö-1,CS77039,15.7884,56.1494,Sweden,19.0,21069
noLRpMR75,8325,Lip-0,,19.3,50.0,Poland,26.25,21070
noLRpMR75,8326,Lis-1,CS77042,14.775,56.0328,Sweden,18.75,21071
noLRpMR75,6933,LL-0,CS77047,2.49,41.59,Spain,14.0,21072
noLRpMR75,8329,Lm-2,,0.5,48.0,France,21.5,21073
noLRpMR75,6042,Lom1-1,CS77048,13.9,56.09,Sweden,20.25,21074
noLRpMR75,6046,Löv-5,CS77050,18.079,62.801,Sweden,15.0,21075
noLRpMR75,7520,Lp2-2,CS76546,16.81,49.38,Czech Republic,23.75,21076
noLRpMR75,7521,Lp2-6,CS77052,16.81,49.38,Czech Republic,22.25,21077
noLRpMR75,6936,Lz-0,,3.3,46.0,France,19.25,21078
noLRpMR75,2057,Map-42,CS77732,-86.412,42.166,US,18.5,21079
noLRpMR75,166,MIB-15,,5.31667,47.3833,France,26.5,21080
noLRpMR75,173,MIB-22,,5.31667,47.3833,France,17.5,21081
noLRpMR75,178,MIB-28,,5.31667,47.3833,France,20.25,21082
noLRpMR75,223,MIB-84,,5.31667,47.3833,France,22.0,21083
noLRpMR75,1925,MNF-Che-2,CS77096,-86.1843,43.5251,US,23.5,21084
noLRpMR75,1967,MNF-Jac-32,,-86.1739,43.5187,US,18.5,21085
noLRpMR75,1859,MNF-Pot-48,,-86.2657,43.595,US,12.0,21086
noLRpMR75,1867,MNF-Pot-68,,-86.2657,43.595,US,15.0,21087
noLRpMR75,242,MOG-37,,-4.06667,48.6667,France,14.5,21088
noLRpMR75,7522,Mr-0,,9.65,44.15,Italy,3.0,21089
noLRpMR75,6937,Mrk-0,,9.3,49.0,GER,29.25,21090
noLRpMR75,6939,Mt-0,,22.46,32.34,LIB,18.25,21091
noLRpMR75,6940,Mz-0,CS76557,8.3,50.3,GER,19.0,21092
noLRpMR75,7438,N13,,34.15,61.36,Russia,11.75,21093
noLRpMR75,8343,Na-1,CS76558,1.5,47.5,France,21.5,21094
noLRpMR75,6943,NFA-10,CS77126,-0.6383,51.4083,UK,22.5,21095
noLRpMR75,6944,NFA-8,CS78913,-0.6383,51.4083,UK,16.75,21096
noLRpMR75,6074,Ör-1,CS77150,16.1308,56.4573,Sweden,10.0,21097
noLRpMR75,8351,Ost-0,CS77154,18.37,60.25,Sweden,27.25,21098
noLRpMR75,6946,Oy-0,,6.19,60.39,Norway,18.0,21099
noLRpMR75,258,PAR-3,,-0.25,46.65,France,11.5,21100
noLRpMR75,259,PAR-4,,-0.25,46.65,France,12.75,21101
noLRpMR75,260,PAR-5,,-0.25,46.65,France,15.25,21102
noLRpMR75,2150,Paw-3,,-86.431,42.148,US,16.5,21103
noLRpMR75,2187,Pent-1,,-86.3929,43.7623,US,12.0,21104
noLRpMR75,8354,Per-1,CS76571,56.3167,58.0,Russia,21.25,21105
noLRpMR75,7296,Petergof,CS77170,29.0,59.0,Russia,17.0,21106
noLRpMR75,7523,Pna-17,CS76575,-86.3253,42.0945,US,21.0,21107
noLRpMR75,8213,Pro-0,,-6.0,43.25,Spain,16.25,21108
noLRpMR75,6951,Pu2-23,CS76579,16.36,49.42,Czech Republic,10.75,21109
noLRpMR75,6958,Ra-0,CS76582,3.3,46.0,France,23.0,21110
noLRpMR75,8365,Rak-2,CS77201,16.0,49.0,Czech Republic,15.25,21111
noLRpMR75,6959,Rennes-1,CS77210,-1.41,48.5,France,22.25,21112
noLRpMR75,6076,Rev-2,CS77215,13.4504,55.6942,Sweden,18.5,21113
noLRpMR75,7525,Rmx-A180,CS77218,-86.511,42.036,US,23.75,21114
noLRpMR75,267,ROM-1,,4.85,45.5333,France,10.0,21115
noLRpMR75,8374,Rsch-4,,34.0,56.3,Russia,9.5,21116
noLRpMR75,8376,Sanna-2,CS77234,18.0,62.69,Sweden,22.25,21117
noLRpMR75,8378,Sap-0,,14.24,49.49,Czech Republic,23.75,21118
noLRpMR75,6961,Se-0,CS76597,-3.53333,38.3333,Spain,25.0,21119
noLRpMR75,6962,Shahdara,,68.48,38.35,Tajikistan,14.25,21120
noLRpMR75,2274,SLSP-30,,-86.496,43.665,US,13.5,21121
noLRpMR75,6085,Sparta-1,CS77260,13.2145,55.7097,Sweden,9.25,21122
noLRpMR75,6967,Sq-8,CS76604,-0.6383,51.4083,UK,11.75,21123
noLRpMR75,8387,St-0,CS77270,18.0,59.0,Sweden,8.0,21124
noLRpMR75,2290,Ste-3,,-86.514,42.03,US,17.5,21125
noLRpMR75,6094,T1040,CS77290,13.2147,55.6494,Sweden,12.0,21126
noLRpMR75,6096,T1060,CS78040,13.2225,55.6472,Sweden,12.0,21127
noLRpMR75,6098,T1080,CS77292,13.2178,55.6561,Sweden,17.5,21128
noLRpMR75,6100,T1110,CS77294,13.2,55.6,Sweden,11.75,21129
noLRpMR75,6109,T510,CS77301,13.1233,55.7936,Sweden,23.25,21130
noLRpMR75,6112,T540,CS77303,13.1044,55.7967,Sweden,14.5,21131
noLRpMR75,6119,T620,CS78060,13.2,55.7,Sweden,12.5,21132
noLRpMR75,8389,Ta-0,,14.5,49.5,Czech Republic,28.0,21133
noLRpMR75,6169,TÅD 01,CS77333,18.3447,62.8714,Sweden,22.5,21134
noLRpMR75,6968,Tamm-2,CS76610,23.5,60.0,Finland,4.75,21135
noLRpMR75,6188,TDr-1,CS77345,14.1386,55.7683,Sweden,9.5,21136
noLRpMR75,6203,TDr-18,CS77350,14.1208,55.7714,Sweden,14.75,21137
noLRpMR75,6190,TDr-3,,14.1381,55.7686,Sweden,13.0,21138
noLRpMR75,6194,TDr-8,CS77355,14.1342,55.7706,Sweden,12.25,21139
noLRpMR75,6242,Tomegap-2,CS77377,13.2,55.7,Sweden,18.75,21140
noLRpMR75,6243,Tottarp-2,CS77381,13.90045,56.27373,Sweden,25.75,21141
noLRpMR75,281,TOU-A1-115,,4.11667,46.6667,France,10.75,21142
noLRpMR75,282,TOU-A1-116,,4.11667,46.6667,France,12.0,21143
noLRpMR75,321,TOU-A1-43,,4.11667,46.6667,France,11.25,21144
noLRpMR75,328,TOU-A1-62,,4.11667,46.6667,France,30.25,21145
noLRpMR75,362,TOU-C-3,,4.11667,46.6667,France,26.5,21146
noLRpMR75,366,TOU-E-11,,4.11667,46.6667,France,17.0,21147
noLRpMR75,373,TOU-H-12,,4.11667,46.6667,France,20.0,21148
noLRpMR75,374,TOU-H-13,,4.11667,46.6667,France,22.25,21149
noLRpMR75,378,TOU-I-17,,4.11667,46.6667,France,16.75,21150
noLRpMR75,379,TOU-I-2,,4.11667,46.6667,France,21.0,21151
noLRpMR75,380,TOU-I-6,,4.11667,46.6667,France,13.5,21152
noLRpMR75,383,TOU-J-3,,4.11667,46.6667,France,10.25,21153
noLRpMR75,386,TOU-K-3,,4.11667,46.6667,France,23.25,21154
noLRpMR75,6970,Ts-1,CS76615,2.93056,41.7194,Spain,16.75,21155
noLRpMR75,6318,UduI 1-34,,16.6314,49.2771,Czech Republic,24.75,21156
noLRpMR75,5805,UKID101,,-1.4,53.2,UK,11.25,21157
noLRpMR75,5742,Frd-1,,1.1,51.3,UK,18.75,21158
noLRpMR75,5753,UKID48,,-2.7,54.7,UK,5.25,21159
noLRpMR75,5785,UKID80,,-2.9,54.7,UK,7.25,21160
noLRpMR75,5380,UKNW06-059,,-3.0,54.4,UK,13.25,21161
noLRpMR75,5381,UKNW06-060,,-3.0,54.4,UK,7.0,21162
noLRpMR75,5565,UKNW06-386,,-3.1,54.6,UK,14.25,21163
noLRpMR75,5606,UKNW06-436,,-3.4,54.7,UK,6.5,21164
noLRpMR75,5628,UKNW06-460,,-3.4,54.7,UK,20.75,21165
noLRpMR75,4997,UKSE06-062,,0.5,51.3,UK,20.5,21166
noLRpMR75,5056,UKSE06-192,,0.5,51.3,UK,9.5,21167
noLRpMR75,5116,UKSE06-272,,0.4,51.3,UK,16.75,21168
noLRpMR75,5122,UKSE06-278,,0.4,51.3,UK,9.25,21169
noLRpMR75,5158,UKSE06-349,,0.4,51.3,UK,13.0,21170
noLRpMR75,5160,UKSE06-351,,0.4,51.3,UK,13.5,21171
noLRpMR75,5202,UKSE06-414,,0.4,51.3,UK,21.0,21172
noLRpMR75,5207,UKSE06-429,,0.4,51.3,UK,13.0,21173
noLRpMR75,5232,UKSE06-466,,0.4,51.2,UK,18.25,21174
noLRpMR75,5245,UKSE06-482,,0.6,51.2,UK,29.75,21175
noLRpMR75,5264,UKSE06-520,,1.1,51.3,UK,13.25,21176
noLRpMR75,5341,UKSE06-628,,0.4,51.1,UK,12.75,21177
noLRpMR75,4802,UKSW06-202,,-4.9,50.4,UK,14.25,21178
noLRpMR75,6973,Ull2-3,CS78817,13.9707,56.0648,Sweden,31.75,21179
noLRpMR75,6413,Ull3-4,CS78819,13.97,56.06,Sweden,10.75,21180
noLRpMR75,6976,Uod-7,CS78823,14.45,48.3,Austria,15.75,21181
noLRpMR75,6977,Van-0,,-123.0,49.3,Canada,14.5,21182
noLRpMR75,7516,Vår2-1,CS78830,14.334,55.58,Sweden,8.75,21183
noLRpMR75,390,VOU-1,,0.166667,46.65,France,19.25,21184
noLRpMR75,392,VOU-2,,0.166667,46.65,France,20.0,21185
noLRpMR75,6979,Wei-0,CS76628,8.26,47.25,SUI,21.25,21186
noLRpMR75,100000,Wil-1,CS78702,25.3167,54.6833,Lithuania,18.5,21187
noLRpMR75,6980,Ws-0.1,,30.0,52.3,Russia,15.0,21188
noLRpMR75,6982,Wt-5,CS76632,9.3,52.3,GER,16.5,21189
noLRpMR75,6983,Yo-0,,-119.35,37.45,US,22.0,21190
noLRpMR75,6985,Zdr-6,,16.2544,49.3853,Czech Republic,13.0,21191
noLRpMR75,6448,ZdrI 2-24,,16.2544,49.3853,Czech Republic,28.25,21192
noLRpMR75,6449,ZdrI 2-25,,16.2544,49.3853,Czech Republic,25.75,21193
